id,family,type,jobs,machines,n_op,flexible,exp_jobs,exp_machines,exp_n_op,dim_check,dim_source,parser_ok,source
ft06,fisher_thompson,JSSP,6,6,36,False,6,6,36,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ft06
ft10,fisher_thompson,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ft10
ft20,fisher_thompson,JSSP,20,5,100,False,20,5,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ft20
la01,lawrence,JSSP,10,5,50,False,10,5,50,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la01
la06,lawrence,JSSP,15,5,75,False,15,5,75,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la06
la11,lawrence,JSSP,20,5,100,False,20,5,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la11
la16,lawrence,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la16
la19,lawrence,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la19
la21,lawrence,JSSP,15,10,150,False,15,10,150,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la21
la24,lawrence,JSSP,15,10,150,False,15,10,150,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la24
la26,lawrence,JSSP,20,10,200,False,20,10,200,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la26
la29,lawrence,JSSP,20,10,200,False,20,10,200,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la29
la31,lawrence,JSSP,30,10,300,False,30,10,300,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la31
la36,lawrence,JSSP,15,15,225,False,15,15,225,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la36
la38,lawrence,JSSP,15,15,225,False,15,15,225,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la38
la40,lawrence,JSSP,15,15,225,False,15,15,225,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/la40
abz5,adams_balas_zawack,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/abz5
abz6,adams_balas_zawack,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/abz6
abz7,adams_balas_zawack,JSSP,20,15,300,False,20,15,300,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/abz7
abz8,adams_balas_zawack,JSSP,20,15,300,False,20,15,300,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/abz8
abz9,adams_balas_zawack,JSSP,20,15,300,False,20,15,300,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/abz9
orb01,applegate_cook_orb,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/orb01
orb02,applegate_cook_orb,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/orb02
orb03,applegate_cook_orb,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/orb03
orb04,applegate_cook_orb,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/orb04
orb05,applegate_cook_orb,JSSP,10,10,100,False,10,10,100,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/orb05
swv01,storer_wu_vaccari,JSSP,20,10,200,False,20,10,200,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/swv01
