id,type,BKS,BKS_source,LB,LB_source,proven_optimal
ft06,JSSP,55,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),55,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
ft10,JSSP,930,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),930,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
ft20,JSSP,1165,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1165,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la01,JSSP,666,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),666,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la06,JSSP,926,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),926,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la11,JSSP,1222,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1222,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la16,JSSP,945,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),945,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la19,JSSP,842,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),842,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la21,JSSP,1046,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1046,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la24,JSSP,935,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),935,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la26,JSSP,1218,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1218,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la29,JSSP,1152,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1152,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la31,JSSP,1784,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1784,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la36,JSSP,1268,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1268,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la38,JSSP,1196,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1196,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
la40,JSSP,1222,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1222,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
abz5,JSSP,1234,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1234,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
abz6,JSSP,943,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),943,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
abz7,JSSP,656,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),656,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
abz8,JSSP,667,"JSPLib (scheduleopt.github.io/benchmarks/jsplib), checked 2026-08-17",667,"JSPLib (scheduleopt.github.io/benchmarks/jsplib), checked 2026-08-17",True
abz9,JSSP,678,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),678,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),True
orb01,JSSP,1059,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1059,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
orb02,JSSP,888,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),888,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
orb03,JSSP,1005,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1005,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
orb04,JSSP,1005,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1005,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
orb05,JSSP,887,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),887,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
swv01,JSSP,1407,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1407,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
swv06,JSSP,1667,"JSPLib (scheduleopt.github.io/benchmarks/jsplib), checked 2026-08-17",1667,"JSPLib (scheduleopt.github.io/benchmarks/jsplib), checked 2026-08-17",True
swv11,JSSP,2983,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),2983,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),True
ta01,JSSP,1231,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1231,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
ta11,JSSP,1357,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),1357,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),True
ta21,JSSP,1642,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),1642,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),True
ta31,JSSP,1764,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),1764,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
ta41,JSSP,2005,"JSPLib (scheduleopt.github.io/benchmarks/jsplib), checked 2026-08-17",1926,"JSPLib (scheduleopt.github.io/benchmarks/jsplib), checked 2026-08-17",False
ta51,JSSP,2760,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),2760,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
