a,b,p_raw,rank_biserial,n_effective,median_difference,p_holm,significant
cpsat,dispatching,5.1683948136322595e-12,-1.0,63,-19.321766561514195,6.56386141331297e-10,True
cpsat,greedy,1.1197003099219983e-12,-1.0,67,-35.01218521527213,1.5227924214939177e-10,True
cpsat,tabu,0.0003546445036981538,-0.5689795918367347,49,-0.6764374295377678,0.009575401599850153,True
cpsat,sa,1.7449433360287222e-09,-0.924812030075188,56,-4.902557856272838,1.029516568256946e-07,True
cpsat,brkga,1.6295557943119345e-11,-1.0,60,-10.833333333333332,1.5315420812487663e-09,True
cpsat,ga,3.5060510731588664e-11,-1.0,58,-7.933748169838944,2.7697803477955046e-09,True
cpsat,de,5.1683948136322595e-12,-1.0,63,-15.024875621890548,6.56386141331297e-10,True
cpsat,pso,1.1111647363502784e-11,-1.0,61,-15.978260869565215,1.177834620531295e-09,True
cpsat,abc,7.577765262336002e-12,-1.0,62,-19.037656903765686,9.169095967426562e-10,True
cpsat,lshade,1.6295557943119345e-11,-1.0,60,-11.24581939799331,1.5315420812487663e-09,True
cpsat,imode,1.6295557943119345e-11,-1.0,60,-13.242753623188406,1.5315420812487663e-09,True
cpsat,cmaes,2.935576933991171e-11,-0.9954802259887006,59,-8.208955223880597,2.3778173165328485e-09,True
cpsat,gwo,1.1111647363502784e-11,-1.0,61,-15.235507246376809,1.177834620531295e-09,True
cpsat,rime,1.6295557943119345e-11,-1.0,60,-10.702341137123746,1.5315420812487663e-09,True
cpsat,mde,3.5060510731588664e-11,-1.0,58,-7.6923076923076925,2.7697803477955046e-09,True
cpsat,csa,1.6295557943119345e-11,-1.0,60,-13.509889373114316,1.5315420812487663e-09,True
dispatching,greedy,2.2583828812060023e-09,-0.8402107111501317,67,-14.912280701754385,1.3098620710994812e-07,True
dispatching,tabu,5.1683948136322595e-12,1.0,63,16.255605381165918,6.56386141331297e-10,True
dispatching,sa,1.1076151546135735e-10,1.0,55,13.255567338282077,7.97482911321773e-09,True
dispatching,brkga,0.006897520979453378,0.38846153846153847,64,5.833333333333332,0.10806575480593926,False
dispatching,ga,4.341715906987323e-06,0.6605769230769231,64,10.15873015873016,0.0001519600567445563,True
dispatching,de,0.09116560987887871,0.24102564102564103,65,2.7710109622411707,0.9116560987887872,False
dispatching,pso,0.28826879426948504,0.15151515151515152,65,1.1372867587327349,1.0,False
dispatching,abc,0.5718888054227705,-0.08065268065268065,65,-0.2843216896831855,1.0,False
dispatching,lshade,0.000686538819913162,0.48438228438228437,65,6.403940886699509,0.015790392858002725,True
dispatching,imode,0.005514835779913038,0.39903846153846156,64,5.623973727422005,0.09926704403843468,False
dispatching,cmaes,9.170236935542514e-07,0.7113095238095238,63,9.30174563591023,3.759797143572431e-05,True
dispatching,gwo,0.12703289892515865,0.2177156177156177,65,4.349904397705547,1.0,False
dispatching,rime,0.0005016883595271938,0.4965034965034965,65,6.137479541734861,0.012040520628652653,True
dispatching,mde,4.3675343153165054e-05,0.5922619047619048,63,7.971014492753625,0.0013539356377481166,True
dispatching,csa,0.006754109675371204,0.3864801864801865,65,5.4687500000000036,0.10806575480593926,False
greedy,tabu,1.1197003099219983e-12,1.0,67,33.106575963718825,1.5227924214939177e-10,True
greedy,sa,1.1715558223763868e-12,0.9991220368744512,67,29.813160032493904,1.5464536855368305e-10,True
greedy,brkga,3.0047171359862507e-12,0.9806848112379281,67,19.69407265774378,3.846037934062401e-10,True
greedy,ga,1.1197003099219983e-12,1.0,67,22.954035874439462,1.5227924214939177e-10,True
greedy,de,1.0274961366137638e-11,0.9561018437225637,67,18.345323741007192,1.0994208661767272e-09,True
greedy,pso,5.2469919537645484e-11,0.9294436906377205,66,17.594108019639933,3.935243965323411e-09,True
