method,t,median,q1,q3,coverage
abc,0.01,44.71046538399719,32.2829428140587,58.476948986257284,0.9552238805970149
abc,0.01190922255039211,42.586750788643535,32.657657657657666,56.6003616636528,0.9701492537313433
abc,0.014182958175476787,42.97815800301742,31.656287817668414,54.89322311202962,0.9850746268656716
abc,0.016890800533465627,42.4348059890012,30.828156785818077,54.362836906914666,0.9850746268656716
abc,0.020115630260732383,40.620411324690494,29.524756611450158,53.277845948505984,0.9850746268656716
abc,0.0239561517516464,40.37925147385967,28.9407776979127,52.426617461242216,0.9850746268656716
abc,0.028529914266132276,40.155855860537166,28.560034449325368,52.426617461242216,0.9850746268656716
abc,0.03397690983389759,39.599928869058445,28.06076297672504,52.164598891301665,0.9850746268656716
abc,0.04046385807864926,39.27727854642964,27.919119917234955,51.27266387726639,0.9850746268656716
abc,0.04818930911061157,39.05821556929189,27.55174169505847,50.48814504881451,0.9850746268656716
abc,0.05738972067479109,38.42404549147035,26.854396572378896,49.6206676533933,1.0
abc,0.06834669556209264,37.69716088328076,26.219329196255032,49.23801459216881,1.0
abc,0.0813956008032858,37.205523964256706,25.6115303527207,48.282775453277544,1.0
abc,0.09693583245892048,37.173913043478265,25.30242063542474,47.794630404463035,1.0
abc,0.11544304018608072,36.43379366368806,24.8762561132017,47.36750348675035,1.0
abc,0.13748368574698944,36.10885458976442,24.254732819368662,47.29776847977685,1.0
abc,0.16373238106090687,35.46511627906976,23.524128127833738,46.94909344490935,1.0
abc,0.19499253647599463,34.593023255813954,23.408450359042227,46.277894002789395,1.0
abc,0.232220951255807,34.197324414715716,23.13604391833934,45.76359832635983,1.0
abc,0.2765570989369163,33.98550724637681,22.60618091806975,45.11854951185495,1.0
abc,0.3293580039130544,33.79366368805849,22.07251917751146,43.73292203910853,1.0
abc,0.39223977673534804,33.021933387489845,21.65461722154293,43.10412100684067,1.0
abc,0.46712707942573733,32.413249211356465,21.486131573890205,42.72929534435811,1.0
abc,0.5563120348195794,31.814449917898195,20.743813123225074,42.13000496135082,1.0
abc,0.6625243830127855,31.486042692939243,20.2793067611001,41.503240068691355,1.0
abc,0.7890150322360485,31.23476848090983,19.76298620065821,41.2519299571328,1.0
abc,0.9396555614503901,30.602006688963215,19.394618834080717,40.798283857872775,1.0
abc,1.1190567202026338,30.21346469622332,19.184044150195348,40.219403817981174,1.0
abc,1.3327095527405048,29.731861198738173,19.119666467791912,39.72114122902556,1.0
abc,1.5871534658620194,29.310344827586206,18.20158162646952,39.34621621402856,1.0
abc,1.8901763846576944,29.310344827586206,17.780420555084234,38.73886987308421,1.0
abc,2.251053122438406,28.637123745819395,17.610110856636965,38.3935346821849,1.0
abc,2.6808292607874016,28.03627760252366,17.55405704497777,37.7718009621464,1.0
abc,3.192659228632032,27.72082018927445,17.10123607074809,37.52624475104979,1.0
abc,3.802208928134209,27.40536277602524,16.263432715226436,36.843343034365176,1.0
abc,4.528135230823811,27.247634069400632,16.00990684963144,36.315665696563485,1.0
abc,5.3926570202151884,26.88834154351396,15.868016128101,35.99570507633213,1.0
abc,6.422235259167707,26.642036124794746,15.588640770815658,35.556384987422604,1.0
abc,7.648382897240333,26.60098522167488,15.343371696914875,35.009848632169266,1.0
abc,9.108629407384788,26.279447603574333,15.132291807001675,34.89740485405832,1.0
abc,10.847669474159156,26.279447603574333,14.89142881887642,34.723067336624574,1.0
